filename: frame000230_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.11267073525138041	area_occluded_relative_to_gtbox: 0.11267073525138041	high_attention_area_occluded_slc: 0.37239174658529495	quadrants: []
filename: frame000485_rgb.pngbbox0	sequence: small0 small1 big2	success: False	combination: big2	high_attention_area_without_occlussion_slc: 0.354676710608914	area_occluded_relative_to_gtbox: 0.2940991839296924	high_attention_area_occluded_slc: 0	quadrants: ['3', '4']
filename: frame000485_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.354676710608914	area_occluded_relative_to_gtbox: 0.009991630048127224	high_attention_area_occluded_slc: 0.3449204854572086	quadrants: ['1', '2', '3', '4']
filename: frame000485_rgb.pngbbox0	sequence: small0 small1 big2	success: False	combination: small1 big2	high_attention_area_without_occlussion_slc: 0.354676710608914	area_occluded_relative_to_gtbox: 0.3040908139778196	high_attention_area_occluded_slc: 0	quadrants: ['4']
filename: frame000485_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.354676710608914	area_occluded_relative_to_gtbox: 0.05058589663109437	high_attention_area_occluded_slc: 0.38886273278928646	quadrants: ['1', '2', '3', '4']
filename: frame000485_rgb.pngbbox0	sequence: small0 small1 big2	success: False	combination: small0 big2	high_attention_area_without_occlussion_slc: 0.354676710608914	area_occluded_relative_to_gtbox: 0.3446850805607868	high_attention_area_occluded_slc: 0	quadrants: ['3']
filename: frame000485_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.354676710608914	area_occluded_relative_to_gtbox: 0.060577526679221595	high_attention_area_occluded_slc: 0.40408558275789913	quadrants: ['1', '2', '3', '4']
filename: frame000485_rgb.pngbbox0	sequence: small0 small1 big2	success: False	combination: small0 small1 big2	high_attention_area_without_occlussion_slc: 0.354676710608914	area_occluded_relative_to_gtbox: 0.35467671060891404	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000360_rgb.pngbbox0	sequence: small0 small1	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.06628493788819875	area_occluded_relative_to_gtbox: 0.03589760179434093	high_attention_area_occluded_slc: 0.10770358868184955	quadrants: ['2']
filename: frame000360_rgb.pngbbox0	sequence: small0 small1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.06628493788819875	area_occluded_relative_to_gtbox: 0.030387336093857832	high_attention_area_occluded_slc: 0.0569466011042098	quadrants: ['1']
filename: frame000360_rgb.pngbbox0	sequence: small0 small1	success: False	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.06628493788819875	area_occluded_relative_to_gtbox: 0.06628493788819875	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000185_rgb.pngbbox1	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.6879995497016773	area_occluded_relative_to_gtbox: 0.6879995497016773	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000178_rgb.pngbbox0	sequence: small0 big1	success: False	combination: big1	high_attention_area_without_occlussion_slc: 0.5524769585253456	area_occluded_relative_to_gtbox: 0.5253456221198156	high_attention_area_occluded_slc: 0	quadrants: ['2', '4']
filename: frame000178_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.5524769585253456	area_occluded_relative_to_gtbox: 0.027131336405529952	high_attention_area_occluded_slc: 0.5221774193548387	quadrants: ['1', '2', '3', '4']
filename: frame000178_rgb.pngbbox0	sequence: small0 big1	success: False	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.5524769585253456	area_occluded_relative_to_gtbox: 0.5524769585253456	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000251_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.4664170637621965	area_occluded_relative_to_gtbox: 0.4664170637621965	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000348_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.10063904349618635	area_occluded_relative_to_gtbox: 0.10063904349618635	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000253_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.5241208090379009	area_occluded_relative_to_gtbox: 0.4008974125364432	high_attention_area_occluded_slc: 0.04771774781341108	quadrants: ['2', '4']
filename: frame000253_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.5241208090379009	area_occluded_relative_to_gtbox: 0.12322339650145772	high_attention_area_occluded_slc: 0.24036534256559766	quadrants: ['1', '2', '3', '4']
filename: frame000253_rgb.pngbbox0	sequence: big0 big1	success: False	combination: big0 big1	high_attention_area_without_occlussion_slc: 0.5241208090379009	area_occluded_relative_to_gtbox: 0.5241208090379009	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000480_rgb.pngbbox0	sequence: small0 big1	success: False	combination: big1	high_attention_area_without_occlussion_slc: 0.25475	area_occluded_relative_to_gtbox: 0.20682142857142857	high_attention_area_occluded_slc: 0	quadrants: ['4']
filename: frame000480_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.25475	area_occluded_relative_to_gtbox: 0.04792857142857143	high_attention_area_occluded_slc: 0.249	quadrants: ['1', '2', '3', '4']
filename: frame000480_rgb.pngbbox0	sequence: small0 big1	success: False	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.25475	area_occluded_relative_to_gtbox: 0.25475000000000003	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000341_rgb.pngbbox0	sequence: small0	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.047167303137235946	area_occluded_relative_to_gtbox: 0.047167303137235946	high_attention_area_occluded_slc: 0.03659302943877798	quadrants: []
filename: frame000338_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.06746955707212632	area_occluded_relative_to_gtbox: 0.06746955707212632	high_attention_area_occluded_slc: 0.009768499933092466	quadrants: []
filename: frame000518_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.6231957353745216	area_occluded_relative_to_gtbox: 0.6231957353745216	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000049_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5912408759124088	area_occluded_relative_to_gtbox: 0.5912408759124088	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000132_rgb.pngbbox0	sequence: big0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.4686155913978495	area_occluded_relative_to_gtbox: 0.2749327956989247	high_attention_area_occluded_slc: 0.12137096774193548	quadrants: ['3', '4']
