filename: frame000230_rgb.pngbbox1	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.5730310956117408	area_occluded_relative_to_gtbox: 0.5730310956117408	high_attention_area_occluded_slc: 0.2176692821854112	quadrants: []
filename: frame000485_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.39372776731533793	area_occluded_relative_to_gtbox: 0.39372776731533793	high_attention_area_occluded_slc: 0.047133291483573966	quadrants: []
filename: frame000360_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small2	high_attention_area_without_occlussion_slc: 0.10136300897170462	area_occluded_relative_to_gtbox: 0.04692891649413389	high_attention_area_occluded_slc: 0.12160326086956522	quadrants: ['1', '3', '4']
filename: frame000360_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.10136300897170462	area_occluded_relative_to_gtbox: 0.022537094547964112	high_attention_area_occluded_slc: 0.08913474810213941	quadrants: ['2', '4']
filename: frame000360_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small1 small2	high_attention_area_without_occlussion_slc: 0.10136300897170462	area_occluded_relative_to_gtbox: 0.069466011042098	high_attention_area_occluded_slc: 0.027756211180124224	quadrants: ['4']
filename: frame000360_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.10136300897170462	area_occluded_relative_to_gtbox: 0.031896997929606624	high_attention_area_occluded_slc: 0.21391908212560387	quadrants: ['1', '2', '3']
filename: frame000360_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small0 small2	high_attention_area_without_occlussion_slc: 0.10136300897170462	area_occluded_relative_to_gtbox: 0.07882591442374051	high_attention_area_occluded_slc: 0.1341226708074534	quadrants: ['1', '3']
filename: frame000360_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.10136300897170462	area_occluded_relative_to_gtbox: 0.054434092477570736	high_attention_area_occluded_slc: 0.06867883022774326	quadrants: ['2']
filename: frame000360_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small0 small1 small2	high_attention_area_without_occlussion_slc: 0.10136300897170462	area_occluded_relative_to_gtbox: 0.10136300897170462	high_attention_area_occluded_slc: 0.009241287094547964	quadrants: []
filename: frame000185_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5531914893617021	area_occluded_relative_to_gtbox: 0.5531914893617021	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000178_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.6732718894009216	area_occluded_relative_to_gtbox: 0.6732718894009216	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000251_rgb.pngbbox0	sequence: small0 big1	success: False	combination: big1	high_attention_area_without_occlussion_slc: 0.275879282958929	area_occluded_relative_to_gtbox: 0.26153846153846155	high_attention_area_occluded_slc: 0	quadrants: ['3']
filename: frame000251_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.275879282958929	area_occluded_relative_to_gtbox: 0.014340821420467439	high_attention_area_occluded_slc: 0.38529611980939416	quadrants: ['1', '2', '3', '4']
filename: frame000251_rgb.pngbbox0	sequence: small0 big1	success: False	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.275879282958929	area_occluded_relative_to_gtbox: 0.275879282958929	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000348_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: big2	high_attention_area_without_occlussion_slc: 0.25951350237064524	area_occluded_relative_to_gtbox: 0.1738404452690167	high_attention_area_occluded_slc: 0.2235209235209235	quadrants: ['1', '3', '4']
